compound,start_value,end_value,delta,normalize_delta
C00986,100,208,108,1.08
C00988,100,84,-16,0.16
C00989,100,55,-45,0.45
C00990,100,86,-14,0.14
C00992,100,10,-90,0.9
C00993,100,88,-12,0.12
C00994,100,100,0,0.0
C00995,100,0,-100,1.0
C00996,100,2,-98,0.98
C00997,100,0,-100,1.0
C00998,100,200,100,1.0
C01000,100,200,100,1.0
C01001,100,38,-62,0.62
C01004,100,100,0,0.0
C01005,100,0,-100,1.0
C01007,100,74,-26,0.26
C01008,100,47,-53,0.53
C01009,100,100,0,0.0
C01010,100,129,29,0.29
C01011,100,56,-44,0.44
C01012,100,71,-29,0.29
C01013,100,110,10,0.1
C01014,100,100,0,0.0
C01015,100,100,0,0.0
C01017,100,100,0,0.0
C01018,100,100,0,0.0
C01019,100,67,-33,0.33
C01020,100,69,-31,0.31
C01021,100,61,-39,0.39
C01023,100,100,0,0.0
C01024,100,12,-88,0.88
C01025,100,2,-98,0.98
C01026,100,128,28,0.28
C01028,100,85,-15,0.15
C01029,100,84,-16,0.16
C01031,100,107,7,0.07
C01032,100,100,0,0.0
C01033,100,90,-10,0.1
C01034,100,51,-49,0.49
C01035,100,124,24,0.24
C01036,100,42,-58,0.58
C01037,100,118,18,0.18
C01040,100,70,-30,0.3
C01041,100,42,-58,0.58
C01042,100,110,10,0.1
C01043,100,81,-19,0.19
C01044,100,98,-2,0.02
C01045,100,127,27,0.27
C01046,100,137,37,0.37
C01047,100,86,-14,0.14
C01048,100,99,-1,0.01
C01050,100,80,-20,0.2
C01051,100,83,-17,0.17
C01053,100,96,-4,0.04
C01054,100,0,-100,1.0
C01056,100,105,5,0.05
C01058,100,86,-14,0.14
C01059,100,101,1,0.01
C01060,100,31,-69,0.69
C01061,100,197,97,0.97
C01062,100,127,27,0.27
C01063,100,71,-29,0.29
C01064,100,87,-13,0.13
C01066,100,86,-14,0.14
C01067,100,100,0,0.0
C01068,100,73,-27,0.27
C01069,100,99,-1,0.01
C01070,100,0,-100,1.0
C01071,100,200,100,1.0
C01073,100,86,-14,0.14
C01074,100,100,0,0.0
C01075,100,103,3,0.03
C01076,100,100,0,0.0
C01077,100,0,-100,1.0
C01079,100,66,-34,0.34
C01080,100,200,100,1.0
C01081,100,189,89,0.89
C01083,100,141,41,0.41
C01086,100,0,-100,1.0
C01087,100,61,-39,0.39
C01088,100,98,-2,0.02
C01089,100,129,29,0.29
C01090,100,44,-56,0.56
C01091,100,93,-7,0.07
C01092,100,172,72,0.72
C01093,100,125,25,0.25
C01094,100,72,-28,0.28
C01095,100,100,0,0.0
C01096,100,51,-49,0.49
C01097,100,103,3,0.03
C01099,100,63,-37,0.37
C01100,100,65,-35,0.35
C01101,111,34,-77,0.69369
C01102,100,90,-10,0.1
C01103,100,20,-80,0.8
C01104,100,62,-38,0.38
C01107,100,99,-1,0.01
C01108,100,90,-10,0.1
C01109,100,85,-15,0.15
C01110,100,72,-28,0.28
C01111,100,111,11,0.11
C01112,100,81,-19,0.19
C01113,100,87,-13,0.13
C01114,100,117,17,0.17
C01115,100,77,-23,0.23
